year,district,crop,season,sowing_date,harvest_date,season_total_rainfall_mm,season_avg_temp_c,season_avg_humidity,soil_pH,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,organic_carbon_pct,soil_moisture_pct,farmer_fertilizer_N_kg_ha,farmer_fertilizer_P_kg_ha,farmer_fertilizer_K_kg_ha,yield_kg_per_ha
2018,Angul,rice,Summer,2018-03-9,2018-06-7,686.9,31.4,79.3,6.5,90.9,19.7,108.7,1.09,19.0,96.6,20.8,78.2,3359.2
2018,Balangir,rice,Rabi,2018-11-12,2019-02-11,436.4,22.2,62.2,6.31,110.2,23.7,191.8,0.51,14.4,69.3,38.2,67.1,3662.8
2018,Balasore,maize,Summer,2018-03-16,2018-06-4,459.6,26.2,73.7,5.12,122.5,20.1,109.8,1.16,24.5,104.7,32.2,25.9,2619.5
2018,Bargarh,rice,Rabi,2018-11-1,2019-02-19,358.6,25.9,51.4,7.27,98.1,34.9,146.8,0.82,18.2,54.8,58.8,66.5,4055.7
2018,Bhadrak,groundnut,Rabi,2018-11-8,2019-02-21,1421.3,30.7,73.9,7.3,86.2,20.9,106.8,0.66,15.8,61.7,53.1,41.4,2103.1
2018,Boudh,groundnut,Rabi,2018-11-9,2019-02-8,383.2,29.6,53.0,7.47,134.1,21.0,100.8,1.05,20.6,98.3,50.9,24.4,1471.1
2018,Cuttack,maize,Kharif,2018-06-23,2018-10-8,666.0,21.4,84.5,6.56,103.2,16.9,146.6,0.66,20.9,91.0,55.5,48.3,2908.5
2018,Deogarh,groundnut,Summer,2018-03-3,2018-06-9,1189.0,26.7,80.8,6.23,116.6,27.8,103.8,0.49,10.5,90.9,32.6,50.5,1806.5
2018,Dhenkanal,groundnut,Kharif,2018-06-26,2018-10-5,1379.8,23.0,66.4,6.89,96.0,17.3,143.5,0.53,23.9,104.6,45.3,72.3,1841.1
2018,Gajapati,rice,Rabi,2018-11-1,2019-02-1,1360.3,26.5,82.3,7.24,102.3,18.3,134.2,0.74,22.3,108.9,20.3,50.6,3654.0
2018,Ganjam,maize,Kharif,2018-06-19,2018-10-21,742.6,22.7,54.8,5.84,146.0,24.7,177.8,0.96,15.5,117.7,58.5,35.1,2224.4
2018,Jagatsinghpur,pulses,Rabi,2018-11-11,2019-02-13,570.3,20.4,74.4,6.26,83.6,23.4,236.2,0.59,12.2,79.2,59.4,34.5,1192.0
2018,Jajpur,maize,Kharif,2018-06-19,2018-10-3,1073.8,29.1,59.5,6.82,105.7,34.0,195.0,0.83,11.4,106.8,32.8,31.2,2829.9
2018,Jharsuguda,pulses,Summer,2018-03-9,2018-06-5,1080.8,20.2,70.5,5.57,125.2,20.2,203.6,0.71,24.1,51.0,33.6,26.8,1049.0
